frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
273,9.100593220338984,0.736344593147368,Open,Open,Open,Open,Closed
274,9.13392872664059,0.725047682016555,Open,Open,Open,Open,Closed
275,9.167264232942198,0.7112550946861141,Open,Open,Open,Closed,Closed
276,9.200599739243806,0.6509718826272466,Open,Open,Open,Closed,Closed
277,9.233935245545414,0.7011994609376802,Open,Open,Open,Closed,Closed
278,9.267270751847022,0.6993775263442888,Open,Open,Open,Closed,Closed
279,9.300606258148632,0.6772486190503308,Open,Open,Open,Closed,Closed
280,9.33394176445024,0.683611572415464,Open,Open,Open,Closed,Closed
281,9.367277270751847,0.664132137939371,Open,Open,Open,Closed,Closed
282,9.400612777053457,0.6224264289960487,Open,Open,Closed,Closed,Closed
283,9.433948283355065,0.5902539453907524,Open,Open,Closed,Closed,Closed
284,9.46728378965667,0.5940004746790515,Open,Open,Closed,Closed,Closed
285,9.50061929595828,0.5276802639242048,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,0.5563117871999029,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,0.5440550363819907,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,0.5736385334421,Open,Closed,Closed,Closed,Closed
289,9.63396132116471,0.6407030937877148,Open,Open,Closed,Closed,Closed
290,9.667296827466318,0.6749058536485025,Open,Open,Open,Closed,Closed
291,9.700632333767926,0.7471904855692294,Open,Open,Open,Open,Closed
292,9.733967840069534,0.7472472533026288,Open,Open,Open,Open,Closed
293,9.767303346371143,0.7264082847156713,Open,Open,Open,Open,Closed
294,9.800638852672751,0.7224717121229638,Open,Open,Open,Open,Closed
295,9.83397435897436,0.7269548106491911,Open,Open,Open,Open,Closed
296,9.867309865275969,0.6974308039442959,Open,Open,Open,Closed,Closed
297,9.900645371577577,0.7150503085824059,Open,Open,Open,Open,Closed
298,9.933980877879184,0.6717008225304144,Open,Open,Open,Closed,Closed
299,9.96731638418079,0.6934747199374115,Open,Open,Open,Closed,Closed
300,10.000651890482398,0.6860166525719235,Open,Open,Open,Closed,Closed
301,10.033987396784006,0.6849219810966625,Open,Open,Open,Closed,Closed
302,10.067322903085614,0.6192277148392179,Open,Open,Closed,Closed,Closed
303,10.100658409387222,0.5543703087246669,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,0.52960568060521,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,0.5079178777264037,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,0.522602088554059,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,0.5410022501790847,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,0.5564529907121855,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,0.5670754229542134,Open,Closed,Closed,Closed,Closed
310,10.33400695349848,0.6070199840958134,Open,Open,Closed,Closed,Closed
311,10.367342459800089,0.6779918321495789,Open,Open,Open,Closed,Closed
312,10.400677966101696,0.7360540221822446,Open,Open,Open,Open,Closed
313,10.434013472403302,0.7269204471417811,Open,Open,Open,Open,Closed
314,10.46734897870491,0.7395279385735923,Open,Open,Open,Open,Closed
315,10.500684485006518,0.742994379176153,Open,Open,Open,Open,Closed
316,10.534019991308126,0.729765781957004,Open,Open,Open,Open,Closed
317,10.567355497609734,0.726905066654091,Open,Open,Open,Open,Closed
318,10.600691003911342,0.7441928510019605,Open,Open,Open,Open,Closed
319,10.63402651021295,0.7176111980007396,Open,Open,Open,Open,Closed
320,10.66736201651456,0.6962948853418766,Open,Open,Open,Closed,Closed
321,10.700697522816167,0.7203941170242627,Open,Open,Open,Open,Closed
322,10.734033029117777,0.6979306149253278,Open,Open,Open,Closed,Closed
323,10.767368535419385,0.6532415473393358,Open,Open,Open,Closed,Closed
324,10.80070404172099,0.6345666404752779,Open,Open,Closed,Closed,Closed
325,10.8340395480226,0.640502562281542,Open,Open,Closed,Closed,Closed
326,10.867375054324206,0.5628517734728435,Open,Closed,Closed,Closed,Closed
327,10.900710560625814,0.5825952864722,Open,Open,Closed,Closed,Closed
328,10.934046066927422,0.5899590501017027,Open,Open,Closed,Closed,Closed
329,10.96738157322903,0.5798492886444241,Open,Open,Closed,Closed,Closed
330,11.000717079530638,0.5598784080021356,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,0.6161646107135897,Open,Open,Closed,Closed,Closed
332,11.067388092133854,0.6202403335427483,Open,Open,Closed,Closed,Closed
333,11.100723598435462,0.6837228049436248,Open,Open,Open,Closed,Closed
334,11.134059104737071,0.7224862115122485,Open,Open,Open,Open,Closed
335,11.16739461103868,0.7385752363863657,Open,Open,Open,Open,Closed
336,11.200730117340289,0.7361876484818147,Open,Open,Open,Open,Closed
337,11.234065623641897,0.7383868783571469,Open,Open,Open,Open,Closed
338,11.267401129943504,0.717722751682307,Open,Open,Open,Open,Closed
339,11.30073663624511,0.6865404902330894,Open,Open,Open,Closed,Closed
340,11.334072142546718,0.675863209931907,Open,Open,Open,Closed,Closed
341,11.367407648848326,0.6637832613610072,Open,Open,Open,Closed,Closed
342,11.400743155149934,0.6748042761714238,Open,Open,Open,Closed,Closed
343,11.434078661451542,0.6379049124689974,Open,Open,Closed,Closed,Closed
344,11.46741416775315,0.6594328208524509,Open,Open,Open,Closed,Closed
345,11.500749674054758,0.6362690980468992,Open,Open,Closed,Closed,Closed
346,11.534085180356366,0.5966577204092652,Open,Open,Closed,Closed,Closed
347,11.567420686657975,0.5390909092248203,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,0.5324714003936385,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,0.4869316001655023,Closed,Closed,Closed,Closed,Closed
350,11.6674272055628,0.5005006736506905,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,0.5529488083590758,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,0.5895644726637108,Open,Open,Closed,Closed,Closed
353,11.767433724467622,0.654808921570182,Open,Open,Open,Closed,Closed
354,11.80076923076923,0.7310956068230008,Open,Open,Open,Open,Closed
355,11.834104737070838,0.7374107565380134,Open,Open,Open,Open,Closed
356,11.867440243372446,0.7762528611100654,Open,Open,Open,Open,Closed
357,11.900775749674054,0.7249601327741078,Open,Open,Open,Open,Closed
358,11.934111255975662,0.7186980610031042,Open,Open,Open,Open,Closed
359,11.96744676227727,0.7462296853784826,Open,Open,Open,Open,Closed
360,12.000782268578876,0.7077710292189311,Open,Open,Open,Closed,Closed
361,12.034117774880489,0.6644844746639913,Open,Open,Open,Closed,Closed
362,12.067453281182097,0.6297034004139703,Open,Open,Closed,Closed,Closed
363,12.100788787483705,0.5956775494943066,Open,Open,Closed,Closed,Closed
364,12.13412429378531,0.5617965284096376,Open,Closed,Closed,Closed,Closed
365,12.16745980008692,0.5591786028099207,Open,Closed,Closed,Closed,Closed
366,12.200795306388526,0.5806792510573656,Open,Open,Closed,Closed,Closed
367,12.234130812690134,0.6259555854656829,Open,Open,Closed,Closed,Closed
368,12.267466318991742,0.6185940701519822,Open,Open,Closed,Closed,Closed
369,12.30080182529335,0.5564648998814153,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,0.6011795301080846,Open,Open,Closed,Closed,Closed
371,12.367472837896566,0.616762354889746,Open,Open,Closed,Closed,Closed
