frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
361,12.034117774880489,91.07756345869196,Open,Open,Closed,Closed,Closed
362,12.067453281182097,85.41130748582975,Open,Open,Closed,Closed,Closed
363,12.100788787483705,85.7950567168788,Open,Open,Closed,Closed,Closed
364,12.13412429378531,84.67055960185905,Open,Closed,Closed,Closed,Closed
365,12.16745980008692,87.90424415434013,Open,Open,Closed,Closed,Closed
366,12.200795306388526,86.8651398796594,Open,Open,Closed,Closed,Closed
367,12.234130812690134,89.93887932422874,Open,Open,Closed,Closed,Closed
368,12.267466318991742,91.79485481591846,Open,Open,Closed,Closed,Closed
369,12.30080182529335,82.99357608928152,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,86.73027895224246,Open,Open,Closed,Closed,Closed
371,12.367472837896566,91.82597087407518,Open,Open,Closed,Closed,Closed
372,12.400808344198174,97.03569337497574,Open,Open,Open,Closed,Closed
373,12.43414385049978,99.63780350437328,Open,Open,Open,Closed,Closed
374,12.467479356801393,99.95410736812724,Open,Open,Open,Closed,Closed
375,12.500814863103,100.08963842918668,Open,Open,Open,Closed,Closed
376,12.534150369404609,93.99213719958288,Open,Open,Open,Closed,Closed
