frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
231,7.700501955671447,70.00255753517845,Open,Closed,Closed,Closed,Closed
232,7.733837461973055,75.05790007648294,Open,Open,Closed,Closed,Closed
233,7.767172968274663,74.72222241484327,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,73.58311488139691,Open,Open,Closed,Closed,Closed
235,7.833843980877879,72.66628198023852,Open,Closed,Closed,Closed,Closed
236,7.867179487179487,73.09567260413374,Open,Closed,Closed,Closed,Closed
237,7.900514993481095,75.23173185981577,Open,Open,Closed,Closed,Closed
238,7.933850499782703,73.81218407643038,Open,Open,Closed,Closed,Closed
239,7.967186006084311,72.17424767364723,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,72.29652071977597,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,74.56855030890472,Open,Open,Closed,Closed,Closed
242,8.067192524989135,73.26117683054404,Open,Open,Closed,Closed,Closed
243,8.100528031290743,72.15606676700929,Open,Closed,Closed,Closed,Closed
244,8.133863537592351,69.26060824674175,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,71.03762792756235,Open,Closed,Closed,Closed,Closed
246,8.200534550195567,66.9840332048596,Open,Closed,Closed,Closed,Closed
247,8.233870056497175,71.36675965637741,Open,Closed,Closed,Closed,Closed
248,8.267205562798782,71.73823496875221,Open,Closed,Closed,Closed,Closed
249,8.30054106910039,74.55592222889712,Open,Open,Closed,Closed,Closed
250,8.333876575401998,71.99521026293871,Open,Closed,Closed,Closed,Closed
251,8.367212081703606,77.02016449887265,Open,Open,Closed,Closed,Closed
252,8.400547588005216,75.46346517745307,Open,Open,Closed,Closed,Closed
253,8.433883094306823,74.1602114510029,Open,Open,Closed,Closed,Closed
254,8.467218600608431,73.76888862123215,Open,Open,Closed,Closed,Closed
255,8.50055410691004,76.25579730749072,Open,Open,Closed,Closed,Closed
256,8.533889613211647,77.69657406495351,Open,Open,Closed,Closed,Closed
257,8.567225119513255,70.18005364850168,Open,Closed,Closed,Closed,Closed
258,8.600560625814863,71.98749394528963,Open,Closed,Closed,Closed,Closed
259,8.63389613211647,72.95606677130479,Open,Closed,Closed,Closed,Closed
260,8.667231638418079,73.57320059875687,Open,Open,Closed,Closed,Closed
261,8.700567144719686,72.06651450633053,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,71.30605906111525,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,70.14879876221329,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,67.02314879445603,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,70.0581883180134,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,67.28610932906373,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,69.41973341774919,Open,Closed,Closed,Closed,Closed
268,8.933915688830943,77.68482934763719,Open,Open,Closed,Closed,Closed
269,8.967251195132551,76.68226580735553,Open,Open,Closed,Closed,Closed
270,9.000586701434159,75.28256290493603,Open,Open,Closed,Closed,Closed
271,9.033922207735769,72.20949070831506,Open,Closed,Closed,Closed,Closed
272,9.067257714037376,71.48291780439794,Open,Closed,Closed,Closed,Closed
273,9.100593220338984,76.95088919717254,Open,Open,Closed,Closed,Closed
274,9.13392872664059,74.37162255568776,Open,Open,Closed,Closed,Closed
275,9.167264232942198,71.97947713346235,Open,Closed,Closed,Closed,Closed
276,9.200599739243806,69.0805564601586,Open,Closed,Closed,Closed,Closed
277,9.233935245545414,76.08835697213223,Open,Open,Closed,Closed,Closed
278,9.267270751847022,76.84180547362637,Open,Open,Closed,Closed,Closed
279,9.300606258148632,77.09616064484602,Open,Open,Closed,Closed,Closed
280,9.33394176445024,76.47057550292607,Open,Open,Closed,Closed,Closed
281,9.367277270751847,76.6055624688355,Open,Open,Closed,Closed,Closed
282,9.400612777053457,74.30712957015005,Open,Open,Closed,Closed,Closed
283,9.433948283355065,77.56324460175476,Open,Open,Closed,Closed,Closed
284,9.46728378965667,73.789547351691,Open,Open,Closed,Closed,Closed
285,9.50061929595828,69.73096679111178,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,66.8736172763383,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,67.99050955170799,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,68.49286118314018,Open,Closed,Closed,Closed,Closed
289,9.63396132116471,73.24616546375867,Open,Closed,Closed,Closed,Closed
290,9.667296827466318,75.45978769773302,Open,Open,Closed,Closed,Closed
291,9.700632333767926,78.50285022106513,Open,Open,Closed,Closed,Closed
292,9.733967840069534,79.06622432636519,Open,Open,Closed,Closed,Closed
293,9.767303346371143,75.56390600026896,Open,Open,Closed,Closed,Closed
294,9.800638852672751,77.14331366225733,Open,Open,Closed,Closed,Closed
295,9.83397435897436,75.34611564381265,Open,Open,Closed,Closed,Closed
296,9.867309865275969,75.23473795226771,Open,Open,Closed,Closed,Closed
297,9.900645371577577,76.08835697213223,Open,Open,Closed,Closed,Closed
298,9.933980877879184,76.48929006587818,Open,Open,Closed,Closed,Closed
299,9.96731638418079,74.5707002155841,Open,Open,Closed,Closed,Closed
300,10.000651890482398,74.85626465378687,Open,Open,Closed,Closed,Closed
301,10.033987396784006,78.73534186398687,Open,Open,Closed,Closed,Closed
302,10.067322903085614,75.61821107832415,Open,Open,Closed,Closed,Closed
303,10.100658409387222,72.73431243164646,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,73.34113435783942,Open,Open,Closed,Closed,Closed
305,10.167329421990438,73.93638638431267,Open,Open,Closed,Closed,Closed
306,10.200664928292047,69.56148074239954,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,66.33932831096762,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,67.6555501589661,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,72.35285435197835,Open,Closed,Closed,Closed,Closed
310,10.33400695349848,73.9610119542829,Open,Open,Closed,Closed,Closed
311,10.367342459800089,78.05616103151988,Open,Open,Closed,Closed,Closed
312,10.400677966101696,77.59015958735344,Open,Open,Closed,Closed,Closed
