frame,timestamp,aspect_ratio_between_lips_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
331,11.034052585832246,0.1428372123149849,Open,Closed,Closed,Closed,Closed
332,11.067388092133854,0.1190637641284599,Open,Closed,Closed,Closed,Closed
333,11.100723598435462,0.0556804544914231,Closed,Closed,Closed,Closed,Closed
334,11.134059104737071,0.0973289483541543,Closed,Closed,Closed,Closed,Closed
335,11.16739461103868,0.0792910050045534,Closed,Closed,Closed,Closed,Closed
336,11.200730117340289,0.0637907645313291,Closed,Closed,Closed,Closed,Closed
337,11.234065623641897,0.0655150280711537,Closed,Closed,Closed,Closed,Closed
338,11.267401129943504,0.1096555906289259,Open,Closed,Closed,Closed,Closed
339,11.30073663624511,0.0917929912762108,Closed,Closed,Closed,Closed,Closed
340,11.334072142546718,0.093234709072405,Closed,Closed,Closed,Closed,Closed
341,11.367407648848326,0.0747557935236577,Closed,Closed,Closed,Closed,Closed
342,11.400743155149934,0.0876610578744294,Closed,Closed,Closed,Closed,Closed
343,11.434078661451542,0.056983553232824,Closed,Closed,Closed,Closed,Closed
344,11.46741416775315,0.0331001705861635,Closed,Closed,Closed,Closed,Closed
345,11.500749674054758,0.0727538994312745,Closed,Closed,Closed,Closed,Closed
346,11.534085180356366,0.15644394577997,Open,Closed,Closed,Closed,Closed
347,11.567420686657975,0.2240089032239523,Open,Open,Closed,Closed,Closed
348,11.600756192959585,0.2257607648380056,Open,Open,Closed,Closed,Closed
349,11.634091699261193,0.2501468128964419,Open,Open,Closed,Closed,Closed
350,11.6674272055628,0.1852029322214008,Open,Closed,Closed,Closed,Closed
351,11.700762711864408,0.1804717670225394,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,0.1282801184159451,Open,Closed,Closed,Closed,Closed
353,11.767433724467622,0.1061580656295159,Open,Closed,Closed,Closed,Closed
354,11.80076923076923,0.0579531576275956,Closed,Closed,Closed,Closed,Closed
