frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
333,11.100723598435462,133.47664451467614,Open,Open,Open,Closed,Closed
334,11.134059104737071,129.00910463310404,Open,Open,Open,Closed,Closed
335,11.16739461103868,130.76463092486114,Open,Open,Open,Closed,Closed
336,11.200730117340289,129.47208094219133,Open,Open,Open,Closed,Closed
337,11.234065623641897,127.27984348052226,Open,Open,Closed,Closed,Closed
338,11.267401129943504,130.30791886283413,Open,Open,Open,Closed,Closed
339,11.30073663624511,124.5093627978754,Open,Open,Closed,Closed,Closed
340,11.334072142546718,125.6813187484528,Open,Open,Closed,Closed,Closed
341,11.367407648848326,126.2484868293902,Open,Open,Closed,Closed,Closed
342,11.400743155149934,124.8636073257672,Open,Open,Closed,Closed,Closed
343,11.434078661451542,120.6664360304878,Open,Open,Closed,Closed,Closed
344,11.46741416775315,115.73151476619272,Open,Closed,Closed,Closed,Closed
345,11.500749674054758,123.21555760806103,Open,Open,Closed,Closed,Closed
346,11.534085180356366,128.92058938886436,Open,Open,Open,Closed,Closed
347,11.567420686657975,138.76595168726868,Open,Open,Open,Open,Closed
348,11.600756192959585,137.26275441835685,Open,Open,Open,Open,Closed
349,11.634091699261193,137.9430549898867,Open,Open,Open,Open,Closed
350,11.6674272055628,133.78251190990562,Open,Open,Open,Closed,Closed
351,11.700762711864408,134.5765391870392,Open,Open,Open,Closed,Closed
352,11.734098218166016,135.15492524362227,Open,Open,Open,Closed,Closed
353,11.767433724467622,136.2817688483894,Open,Open,Open,Closed,Closed
354,11.80076923076923,133.53843624661772,Open,Open,Open,Closed,Closed
355,11.834104737070838,131.0540422006645,Open,Open,Open,Closed,Closed
356,11.867440243372446,121.0932018901961,Open,Open,Closed,Closed,Closed
357,11.900775749674054,111.2427917536262,Open,Closed,Closed,Closed,Closed
358,11.934111255975662,111.83527068261024,Open,Closed,Closed,Closed,Closed
359,11.96744676227727,118.08772213105236,Open,Closed,Closed,Closed,Closed
360,12.000782268578876,121.19786072266405,Open,Open,Closed,Closed,Closed
361,12.034117774880489,121.51377888345618,Open,Open,Closed,Closed,Closed
