frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
338,11.267401129943504,9.11946207452382,Closed,Closed,Closed,Closed,Closed
339,11.30073663624511,10.894077925742042,Closed,Closed,Closed,Closed,Closed
340,11.334072142546718,10.725619353018107,Closed,Closed,Closed,Closed,Closed
341,11.367407648848326,13.376889641115689,Closed,Closed,Closed,Closed,Closed
342,11.400743155149934,11.40757394728747,Closed,Closed,Closed,Closed,Closed
343,11.434078661451542,17.54892321147804,Open,Closed,Closed,Closed,Closed
344,11.46741416775315,30.211324663626296,Open,Open,Closed,Closed,Closed
345,11.500749674054758,13.744967731174729,Closed,Closed,Closed,Closed,Closed
346,11.534085180356366,6.392065829165711,Closed,Closed,Closed,Closed,Closed
347,11.567420686657975,4.464108281447423,Closed,Closed,Closed,Closed,Closed
348,11.600756192959585,4.4294676301152185,Closed,Closed,Closed,Closed,Closed
349,11.634091699261193,3.997652372305016,Closed,Closed,Closed,Closed,Closed
350,11.6674272055628,5.399482546013634,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,5.541032907796089,Closed,Closed,Closed,Closed,Closed
352,11.734098218166016,7.795440262672075,Closed,Closed,Closed,Closed,Closed
353,11.767433724467622,9.41991542583235,Closed,Closed,Closed,Closed,Closed
354,11.80076923076923,17.25531517067551,Open,Closed,Closed,Closed,Closed
355,11.834104737070838,8.661920455613838,Closed,Closed,Closed,Closed,Closed
356,11.867440243372446,8.812165849462009,Closed,Closed,Closed,Closed,Closed
