frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
50,1.6667268351383875,False,82.87943049997388,61.68468205316454,68.42514157822401,61.29437168288782,95.71833680126291,87.09190547921202,80.50465825031493,80.60397012554654,132.48396129343357,137.05838172107534,57.38466694161429,52.20153254455275,46.8187996428785,43.41658669218482,68.0,61.39218191268331,61.814237842102365,71.19691004531025,155.4155719353759,111.77208953938367,142.27438279606065,61.032778078668514,19.0,23.021728866442675,25.019992006393608,101.11874208078342
51,1.7000613718411552,True,94.04786015641186,68.0294054067798,76.15773105863909,64.19501538281614,107.07474025184464,96.25487000666512,86.28441342444185,88.88756943465155,150.63200191194434,151.47607071745688,66.60330322138685,58.7962583843564,50.11985634456667,45.39823785126467,77.10382610480494,67.35725647619564,66.91038783328041,80.15609770940699,161.44968256394932,124.34226956268733,153.06207890917986,63.00793600809346,22.0,32.0624390837628,33.015148038438355,101.07917688624102
52,1.733395908543923,True,105.6882207249228,104.63746938836012,92.65527507918802,89.88882021697692,126.62543188475212,118.84864324004712,116.48175822848829,130.51053597315428,210.86725682286476,148.52945835759317,74.96665925596525,87.45856161634491,61.326992425847855,65.0,90.7358804442873,80.95677859203639,88.14193099768123,107.62899237658968,208.90667772955464,117.6860229593982,192.06509313251067,41.0,23.0,62.07253821135398,35.0,117.34564329364768
53,1.7667304452466908,True,98.35141076771599,80.44874144447506,81.41252974819048,68.73136110975832,115.96551211459379,104.75208828467335,94.42986815621421,103.75451797391764,184.76471524617463,153.67498169838836,85.14693182963201,74.02702209328699,65.73431371817918,58.54912467321779,97.8008179924892,85.0881895447306,82.87339742040264,96.38464608017192,188.35339126227592,141.73566946961517,176.02556632489498,58.034472514187634,25.0,46.17358552246078,37.013511046643494,117.15374513859982
54,1.8000649819494585,True,93.38094023943002,69.77105417004964,77.02596964660685,65.00769185258002,109.29318368498559,99.92497185388645,89.0,92.97311439335567,169.11830178901394,151.2084653714864,76.38062581571324,66.2872536767062,61.773780845922005,55.44366510251645,89.88882021697692,80.99382692526635,79.76214641043707,89.89438247187641,182.60339536821323,132.87964479181903,168.35973390332975,61.0,20.0,39.11521443121589,30.01666203960727,119.26860441876563
55,1.8333995186522263,True,94.76286192385707,70.21395872616783,78.03204469959762,65.0,110.38568747804219,100.72239075796404,90.00555538409837,93.60555539069249,159.84992962150469,154.6156525064652,73.0,62.80127387243033,57.982756057296896,50.80354318352215,84.87638069569178,75.39230729988306,72.99315036357864,84.21995013059554,168.1814496310458,132.60844618650805,162.5207679036744,64.00781202322104,20.0,40.049968789001575,30.01666203960727,107.11675872616759
56,1.866734055354994,False,86.68333173107735,67.02984409947557,75.59100475585703,69.3757882838098,99.98499887483122,93.23089616645332,88.76936408468859,87.14355971613737,129.07362240210043,146.82302271782856,61.5223536610881,44.40720662234904,50.60632371551998,45.12205669071391,72.71863585079137,66.12866246946176,62.64982043070834,61.5223536610881,128.1288414058287,122.80065146407001,148.56984889270097,68.0,15.0,14.0,17.029386365926403,103.04368005850722
57,1.9000685920577618,True,94.17536832951598,71.84705978674423,73.57309290766564,61.00819617067857,109.85900054160332,96.38464608017192,88.0056816347672,97.04638066409278,178.44046626256053,149.03019828209315,88.0056816347672,65.80273550544841,65.80273550544841,54.08326913195984,101.53324578678651,88.10221336606703,80.00624975587844,90.78546139112804,181.34221791960084,147.27525250360293,168.01190434013895,58.077534382926416,26.019223662515376,38.01315561749642,42.01190307520001,117.27318534089538
58,1.9334031287605296,False,82.02438661763951,59.682493245507096,69.33974329343886,59.841457201508724,93.23089616645332,85.42247947700886,78.91767862779544,78.40918313565064,133.6899397860587,145.64683312726027,68.6804193347711,44.94441010848846,54.644304369257,44.181444068749045,76.84399781375251,69.35416353759881,61.032778078668514,63.60031446463138,116.86744627996283,128.41339493993607,139.35924798878617,69.02897942168927,15.0,27.073972741361768,20.0,90.09439494219383
59,1.9667376654632973,False,86.21484790916237,58.83026432033091,70.178344238091,52.61178575186362,95.67131231461184,86.28441342444185,72.44308110509934,78.39005038906404,155.30936868070773,144.75496537252184,80.15609770940699,53.823786563191554,62.93647591023825,45.89117562233506,88.41379982785493,76.84399781375251,64.77653896280658,72.00694410957877,150.88074761214565,138.19551367537227,136.01470508735443,62.00806399170998,17.029386365926403,54.00925846556311,23.0,105.04284840006957
60,2.000072202166065,False,89.27485648266257,66.03029607687671,73.60027173862879,57.87054518492115,100.26464980241042,90.0499861188218,76.53103945458993,83.6301381082203,146.99659860010368,149.25146565444507,76.40026177965623,63.0317380372777,60.440052945046304,50.0,85.0411665018772,74.43117626371358,67.91170738539859,80.15609770940699,142.2708684165525,134.18271125595876,142.1724305201258,63.0317380372777,18.0,54.037024344425184,28.0178514522438,85.28774824088158
61,2.0334067388688326,False,88.52683209061533,76.36753236814714,71.61005515987263,62.24146527838174,99.40321926376429,89.89438247187641,83.16850365372699,96.02083107326243,147.14618581533128,149.21461054467824,76.00657866263946,68.60029154456998,58.0,48.02082881417188,84.21995013059554,73.24616030891995,68.94200461257273,86.37129152675674,144.01388821915754,135.51752654177244,142.01408380861386,65.06919393998976,18.0,67.00746227100382,30.01666203960727,70.02856560004639
62,2.0667412755716006,False,85.63293758829018,76.36753236814714,69.63476143421474,60.92618484691127,97.0051545022222,87.23531395025755,80.95677859203639,93.81364506296512,161.01242188104618,146.72763884149435,73.23933369440222,69.40461079784254,57.38466694161429,49.92995093127971,82.21921916437786,71.69379331573968,68.87670143089025,87.0,165.10905486980417,131.9280106724876,139.0898989862312,64.07027391856539,18.0,66.0,30.01666203960727,90.19977827023745
63,2.100075812274368,False,85.58621384311844,76.57675887630658,70.32780389006896,63.56886030125127,96.79876032264049,88.23831367382311,83.93449827097318,94.87360012142472,165.4841382127,147.87156589419075,74.02702209328699,67.26812023536856,58.008620049092706,50.99019513592785,82.61961026293939,72.89718787443039,69.28924880528002,84.64632301523794,164.62381358722072,133.7235955244997,146.01369798755184,68.11754546370561,18.0,57.0,29.017236257093817,96.08329719571451
